"Res_Pct"	"Exh_Pct"	"Blood_Pct"	"gene"	"CLsPass"	"LcmPass"	"CancerPass"	"Marker"	"Cell.Type"	"Cell_Marker"	"Marker_Genes"	"HighInStroma"
14.303996738058	14.4685010705806	14.0265722395343	"GNLY"	TRUE	TRUE	TRUE	"Exh"	"NK"	"NK_Exh"	"NK_Exh--GNLY"	FALSE
9.90670858750686	10.9800370226079	10.0365952524487	"HLA-DRA"	TRUE	FALSE	TRUE	"Exh"	"NK"	"NK_Exh"	"NK_Exh--HLA-DRA"	FALSE
9.52079085909687	10.287451838741	10.1117963171714	"HLA-DRB1"	TRUE	FALSE	TRUE	"Exh"	"NK"	"NK_Exh"	"NK_Exh--HLA-DRB1"	FALSE
9.79313590400026	10.0965308986103	10.0833027447731	"KLRC2"	TRUE	FALSE	TRUE	"Exh"	"NK"	"NK_Exh"	"NK_Exh--KLRC2"	FALSE
9.69490014873863	9.71765091242354	9.09831995986961	"HAVCR2"	TRUE	TRUE	TRUE	"Exh"	"NK"	"NK_Exh"	"NK_Exh--HAVCR2"	FALSE
8.02912422044821	9.23601315249791	9.1978899474016	"HLA-DRB5"	TRUE	FALSE	TRUE	"Exh"	"NK"	"NK_Exh"	"NK_Exh--HLA-DRB5"	FALSE
9.03186583798317	9.20847013000062	9.18270255205902	"TIGIT"	TRUE	TRUE	TRUE	"Exh"	"NK"	"NK_Exh"	"NK_Exh--TIGIT"	FALSE
8.43667195690015	8.44827775218477	0	"KRT86"	TRUE	FALSE	TRUE	"Exh"	"NK"	"NK_Exh"	"NK_Exh--KRT86"	FALSE
0.161765422753858	6.75140841190878	0	"AFAP1L2"	FALSE	TRUE	TRUE	"Exh"	"NK"	"NK_Exh"	"NK_Exh--AFAP1L2"	FALSE
0	6.3669700299627	5.73633111125237	"LAG3"	TRUE	TRUE	TRUE	"Exh"	"NK"	"NK_Exh"	"NK_Exh--LAG3"	FALSE
4.53530588705959	5.84648639851413	4.01695546709275	"TNIP3"	TRUE	TRUE	TRUE	"Exh"	"NK"	"NK_Exh"	"NK_Exh--TNIP3"	FALSE
2.71483291188752	4.97963862426138	0	"MYO7A"	TRUE	TRUE	TRUE	"Exh"	"NK"	"NK_Exh"	"NK_Exh--MYO7A"	FALSE
2.13792126798856	3.62019468678341	2.98985044208732	"TWIST1"	TRUE	TRUE	TRUE	"Exh"	"NK"	"NK_Exh"	"NK_Exh--TWIST1"	FALSE
0	10.1313009709904	1.97530813297522	"CXCL13"	TRUE	TRUE	TRUE	"Exh"	"CD8"	"CD8_Exh"	"CD8_Exh--CXCL13"	FALSE
9.28780745223601	9.68895738599334	9.64582436981697	"APOBEC3C"	FALSE	TRUE	TRUE	"Exh"	"CD8"	"CD8_Exh"	"CD8_Exh--APOBEC3C"	FALSE
5.41060791260603	8.82695154011267	3.20162655361823	"HAVCR2"	TRUE	TRUE	TRUE	"Exh"	"CD8"	"CD8_Exh"	"CD8_Exh--HAVCR2"	FALSE
5.24566284670633	8.42012420422574	7.49862726751212	"ZNF683"	TRUE	FALSE	TRUE	"Exh"	"CD8"	"CD8_Exh"	"CD8_Exh--ZNF683"	FALSE
