"variable","coef","exp(coef)","se(coef)","z","Pr(>|z|)","exp(-coef)","lower .95","upper .95","C","se(C)","test","df","pvalue","formula","VariableName"
"High CD8_Res_Bulk & Low CD8_Exh_Bulk",0.831559085378173,2.29689700866777,0.262404679031441,3.16899488396141,0.00152967087686119,0.435369977942552,1.37335323363843,3.84149957869902,0.698271655907521,0.0214591492361626,121.335601090938,10,2.710387038065e-21,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--CD8_Exh_Bulk"
"Low CD8_Res_Bulk & High CD8_Exh_Bulk",0.058781395340675,1.06054337567435,0.276734129860631,0.212411079798067,0.831786342567571,0.94291287177589,0.61655513229849,1.82425251654904,0.698271655907521,0.0214591492361626,121.335601090938,10,2.710387038065e-21,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--CD8_Exh_Bulk"
"Low CD8_Res_Bulk & Low CD8_Exh_Bulk",0.143934544987053,1.15480851804455,0.236962630151997,0.607414531543338,0.543575847154452,0.865944426607893,0.72578338547445,1.83743902111576,0.698271655907521,0.0214591492361626,121.335601090938,10,2.710387038065e-21,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--CD8_Exh_Bulk"
"High CD8_Res_Bulk & Low CD4_Exh_Bulk",0.201788614176463,1.22358933133354,0.250348330139604,0.806031396590255,0.420224746106999,0.817267668483295,0.749098274481147,1.99863075748007,0.696901741480258,0.021959170121464,113.609140782664,10,9.96605908598286e-20,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--CD4_Exh_Bulk"
"Low CD8_Res_Bulk & High CD4_Exh_Bulk",-0.0181248294903117,0.982038437349123,0.284122901618768,-0.0637922159285538,0.949135676425104,1.01829008108823,0.562707410074474,1.71385603808464,0.696901741480258,0.021959170121464,113.609140782664,10,9.96605908598286e-20,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--CD4_Exh_Bulk"
"Low CD8_Res_Bulk & Low CD4_Exh_Bulk",-0.131787837946403,0.876526941109189,0.230828372613408,-0.570934311299424,0.568044171538973,1.14086624506323,0.557549976968776,1.37799212667398,0.696901741480258,0.021959170121464,113.609140782664,10,9.96605908598286e-20,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--CD4_Exh_Bulk"
"High CD8_Res_Bulk & Low NK_Exh_Bulk",0.568120158857746,1.76494611267657,0.254467294128038,2.23258615927236,0.0255762476644946,0.566589536540287,1.07183638720389,2.90625959133406,0.703882675273983,0.0209986166604392,118.937336964434,10,8.31235065738768e-21,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--NK_Exh_Bulk"
"Low CD8_Res_Bulk & High NK_Exh_Bulk",-0.332495599853567,0.717131824342082,0.315648812406151,-1.05337193357072,0.292170562263265,1.39444376341467,0.386294246250155,1.33131170985956,0.703882675273983,0.0209986166604392,118.937336964434,10,8.31235065738768e-21,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--NK_Exh_Bulk"
"Low CD8_Res_Bulk & Low NK_Exh_Bulk",0.221486361150956,1.2479302277727,0.237231597517601,0.933629261315089,0.350495165898464,0.801326851249364,0.783895917309721,1.98665386437205,0.703882675273983,0.0209986166604392,118.937336964434,10,8.31235065738768e-21,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--NK_Exh_Bulk"
"High CD8_Res_Bulk & Low All_Exh_Bulk",0.464700923023423,1.5915381252902,0.272245223868102,1.7069203875127,0.0878368508545096,0.628322994032996,0.933429434995393,2.7136423057676,0.696076039633689,0.0220563883967578,115.741765285125,10,3.69108869725095e-20,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--All_Exh_Bulk"
"Low CD8_Res_Bulk & High All_Exh_Bulk",0.0887020577047539,1.09275502987805,0.268994791913004,0.32975381074828,0.741585990605125,0.915118185373714,0.644991560689957,1.85136306907088,0.696076039633689,0.0220563883967578,115.741765285125,10,3.69108869725095e-20,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--All_Exh_Bulk"
"Low CD8_Res_Bulk & Low All_Exh_Bulk",-0.0646295851397494,0.937414631385021,0.24553024588812,-0.263224536374223,0.792377520157657,1.06676380602521,0.579343319752576,1.51679696852292,0.696076039633689,0.0220563883967578,115.741765285125,10,3.69108869725095e-20,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--All_Exh_Bulk"
"High CD8_Res_Bulk & Low CD8NK_Exh_Bulk",0.743901203620139,2.10412815590166,0.263655048321119,2.82149425302907,0.00478004939640012,0.475256222961133,1.25501409622013,3.52773352091624,0.701386803783216,0.0212308590915596,120.758258795674,10,3.5502204633546e-21,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--CD8NK_Exh_Bulk"
"Low CD8_Res_Bulk & High CD8NK_Exh_Bulk",-0.126463236886523,0.881206544844241,0.298164247363963,-0.424139507015245,0.671464074772718,1.1348077313438,0.491224304662415,1.58079510176105,0.701386803783216,0.0212308590915596,120.758258795674,10,3.5502204633546e-21,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--CD8NK_Exh_Bulk"
"Low CD8_Res_Bulk & Low CD8NK_Exh_Bulk",0.194337306841815,1.21450587501431,0.234387913861815,0.829126825013632,0.407032646032538,0.823380125673096,0.767164090259988,1.92269755476225,0.701386803783216,0.0212308590915596,120.758258795674,10,3.5502204633546e-21,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--CD8NK_Exh_Bulk"
"High CD8_Res_Bulk & Low Antigen_Presentation",-0.0611535773879953,0.940678761694847,0.220219429201986,-0.277693832962872,0.78124739506346,1.06306216396156,0.610928268222816,1.44841314231186,0.694434018916079,0.0223243623549583,113.153367062045,10,1.23207665285096e-19,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--Antigen_Presentation"
"Low CD8_Res_Bulk & High Antigen_Presentation",-0.154613776598309,0.856746008950035,0.26035029668431,-0.593868255836049,0.552600232281773,1.16720707135307,0.514329596109982,1.42712713676865,0.694434018916079,0.0223243623549583,113.153367062045,10,1.23207665285096e-19,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--Antigen_Presentation"
"Low CD8_Res_Bulk & Low Antigen_Presentation",-0.211448058904413,0.809411321671727,0.225979620355219,-0.935695256820221,0.349430113444317,1.23546579251528,0.519774624364985,1.26044377108785,0.694434018916079,0.0223243623549583,113.153367062045,10,1.23207665285096e-19,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--Antigen_Presentation"
"High CD8_Res_Bulk & Low DDR",0.212548313801649,1.23682586788145,0.234352247915255,0.906960849287477,0.364427501097486,0.808521252642373,0.781317523326655,1.95789571050123,0.693298678877045,0.0225711019603517,113.454236524014,10,1.07110847452361e-19,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--DDR"
"Low CD8_Res_Bulk & High DDR",-0.0190198023503619,0.981159932777682,0.26064842000398,-0.0729711016474665,0.941829113730689,1.01920183100933,0.588674830529745,1.63532524878293,0.693298678877045,0.0225711019603517,113.454236524014,10,1.07110847452361e-19,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--DDR"
"Low CD8_Res_Bulk & Low DDR",-0.0760103122086021,0.926806649086604,0.282992497730713,-0.268594796039191,0.788241517344078,1.07897370070179,0.532237523968155,1.61388576736753,0.693298678877045,0.0225711019603517,113.454236524014,10,1.07110847452361e-19,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--DDR"
"High CD8_Res_Bulk & Low DNA_Repair",0.161071062403148,1.17476844771677,0.228645965661491,0.704456175017811,0.481148733178017,0.851231578396202,0.750461599702284,1.83897604660699,0.691168743431917,0.0225964980644247,114.052310824054,10,8.10831548034084e-20,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--DNA_Repair"
"Low CD8_Res_Bulk & High DNA_Repair",0.0279704060469757,1.02836525057818,0.256258067603291,0.109149367700205,0.913084018998087,0.97241714404271,0.622329130671538,1.6993179918407,0.691168743431917,0.0225964980644247,114.052310824054,10,8.10831548034084e-20,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--DNA_Repair"
