"variable","coef","exp(coef)","se(coef)","z","Pr(>|z|)","exp(-coef)","lower .95","upper .95","C","se(C)","test","df","pvalue","formula","VariableName"
"High CD8_Res_Bulk & Low CD8_Exh_Bulk",0.831559085378173,2.29689700866777,0.262404679031441,3.16899488396141,0.00152967087686119,0.435369977942552,1.37335323363843,3.84149957869902,0.698271655907521,0.0214591492361626,121.335601090938,10,2.710387038065e-21,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--CD8_Exh_Bulk"
"High CD8_Res_Bulk & Low NK_Exh_Bulk",0.568120158857746,1.76494611267657,0.254467294128038,2.23258615927236,0.0255762476644946,0.566589536540287,1.07183638720389,2.90625959133406,0.703882675273983,0.0209986166604392,118.937336964434,10,8.31235065738768e-21,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--NK_Exh_Bulk"
"High CD8_Res_Bulk & Low CD8NK_Exh_Bulk",0.743901203620139,2.10412815590166,0.263655048321119,2.82149425302907,0.00478004939640012,0.475256222961133,1.25501409622013,3.52773352091624,0.701386803783216,0.0212308590915596,120.758258795674,10,3.5502204633546e-21,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--CD8NK_Exh_Bulk"
"Low CD8_Res_Bulk & High Epi_Thiery",-0.495572565576736,0.609221987877368,0.250167491158563,-1.98096308709683,0.0475954132977336,1.64143780083212,0.373106327980679,0.994760481608533,0.69863759195316,0.0219886317162792,116.362857795293,10,2.76323248400762e-20,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--Epi_Thiery"
"High CD8_Res_Bulk & Low MYC_pos",0.519795271422158,1.68168332581794,0.241822527756606,2.14949068742401,0.0315955235130106,0.594642275776633,1.04689833545712,2.7013690943536,0.698083996396937,0.0224377008938345,119.331358253149,10,6.9152690709679e-21,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--MYC_pos"
"High CD8_Res_Bulk & Low TGFbEMT",0.608578175078455,1.83781648696637,0.296452871023614,2.05286652470968,0.0400855244220973,0.544123968356966,1.02792399015223,3.28581633673637,0.696854826602612,0.0222653989798314,116.591434320329,10,2.48388349789185e-20,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--TGFbEMT"
"High CD4_Res_Bulk & Low CD8_Exh_Bulk",0.628834618538205,1.87542372121221,0.257497327106592,2.44210153792352,0.0146020390401258,0.533212835419204,1.13218470257952,3.10657274035942,0.694555997597958,0.0216525801779661,117.009878928848,10,2.04352767591059e-20,"Comb_2status + Age + Stage + CMS","CD4_Res_Bulk--CD8_Exh_Bulk"
"High CD4_Res_Bulk & Low NK_Exh_Bulk",0.547808602788327,1.72945893073124,0.255846337503656,2.14116257490103,0.0322609299266714,0.578215522919175,1.04745037365341,2.85553212669504,0.699791697943252,0.0210327051885729,117.602360452855,10,1.55004474674515e-20,"Comb_2status + Age + Stage + CMS","CD4_Res_Bulk--NK_Exh_Bulk"
"High CD4_Res_Bulk & Low CD8NK_Exh_Bulk",0.759440581164498,2.13708036302735,0.254914785450319,2.97919392875901,0.00289007801307032,0.46792812160953,1.29669248821586,3.52212457428599,0.697098783966371,0.0215589316145051,120.022990989454,10,5.0059799981268e-21,"Comb_2status + Age + Stage + CMS","CD4_Res_Bulk--CD8NK_Exh_Bulk"
"High CD4_Res_Bulk & Low MYC_pos",0.492341368120402,1.63614255079172,0.233271915924014,2.11058997895305,0.034807569755279,0.611193688175951,1.03576140608288,2.58453581180937,0.69993244257619,0.0221229603928202,118.704292024246,10,9.26789302085581e-21,"Comb_2status + Age + Stage + CMS","CD4_Res_Bulk--MYC_pos"
"High CD4_Res_Bulk & Low TGFbEMT",0.593042917186626,1.80948616310491,0.294116346973829,2.01635483130557,0.0437628851200715,0.552643076465472,1.01672377230433,3.22038321878449,0.692031977180603,0.0225735218654058,115.195142013955,10,4.76185038949249e-20,"Comb_2status + Age + Stage + CMS","CD4_Res_Bulk--TGFbEMT"
"High NK_Res_Bulk & Low CD8_Exh_Bulk",0.629047581643932,1.87582315980377,0.267898431224811,2.34808236378233,0.0188703480104935,0.533099292848378,1.10957416316498,3.17122788513687,0.696742230896262,0.0212730742713624,117.741181884604,10,1.45282384592247e-20,"Comb_2status + Age + Stage + CMS","NK_Res_Bulk--CD8_Exh_Bulk"
"High NK_Res_Bulk & Low CD8NK_Exh_Bulk",0.707648554504318,2.02921405792812,0.264747699504617,2.67291672724045,0.0075194913823842,0.492801632283697,1.20774211828914,3.40942791556044,0.699350698093379,0.0209738142208165,120.124741148534,10,4.77354588034875e-21,"Comb_2status + Age + Stage + CMS","NK_Res_Bulk--CD8NK_Exh_Bulk"
"High NK_Res_Bulk & Low MYC_pos",0.456749182811341,1.57893281109178,0.228786270826515,1.99640118771675,0.0458902716439097,0.633339172493688,1.0083711758047,2.47233249200394,0.695794550367813,0.0226190524144017,117.958048137384,10,1.31299097385767e-20,"Comb_2status + Age + Stage + CMS","NK_Res_Bulk--MYC_pos"
"High All_Res_Bulk & Low CD8_Exh_Bulk",0.866439168408492,2.37842658044944,0.264442671773663,3.27647260026959,0.00105112511103154,0.420446024367519,1.41643203154134,3.99377652624295,0.696685933043087,0.021881376803313,120.932946562059,10,3.27182913939871e-21,"Comb_2status + Age + Stage + CMS","All_Res_Bulk--CD8_Exh_Bulk"
"High All_Res_Bulk & Low NK_Exh_Bulk",0.638907977893353,1.89441101063678,0.268184184085951,2.38234771401951,0.0172026455020212,0.527868553542592,1.11994170613828,3.20444631854686,0.701931016363909,0.0211990091558018,118.110442728393,10,1.22285028115833e-20,"Comb_2status + Age + Stage + CMS","All_Res_Bulk--NK_Exh_Bulk"
