"variable","coef","exp(coef)","se(coef)","z","Pr(>|z|)","exp(-coef)","lower .95","upper .95","C","se(C)","test","df","pvalue","formula","VariableName"
"Low score",0.0922700235787135,1.09666090640673,0.20978585560064,0.439829574374947,0.660060546076077,0.911858892897494,0.72694627929059,1.65440717959857,0.69300780663564,0.0220159873554822,112.052845101979,8,1.44050945093463e-20,"Score_2status + Age + Stage + CMS","All_Exh_Bulk"
"Low score",-0.0535255630615518,0.947881709935599,0.19617698685908,-0.272843231606981,0.784973725853226,1.0549839600428,0.645309397016979,1.392323961473,0.692763849271881,0.0222981314112308,111.872060303878,8,1.56930548061665e-20,"Score_2status + Age + Stage + CMS","All_Res_Bulk"
"Low score",-0.0925461794311915,0.911607112494502,0.164376808772933,-0.563012386735363,0.573426449302148,1.09696379755487,0.660525991516629,1.25812994223353,0.691769253865786,0.0222278836417236,112.463200715937,8,1.1860005621719e-20,"Score_2status + Age + Stage + CMS","Antigen_Presentation"
"Low score",-0.00151538579999835,0.998485761817296,0.188305068844979,-0.00804750402787023,0.993579090088743,1.00151653457727,0.690329306915277,1.44420033535419,0.692829530100586,0.0222329009373592,111.842959678592,8,1.59108660440513e-20,"Score_2status + Age + Stage + CMS","CD4_Exh_Bulk"
"Low score",-0.102529730666309,0.902551315902034,0.175745317102929,-0.583399503078994,0.559624392270414,1.10797024211368,0.63955399866912,1.27369835781128,0.693064104488816,0.0223077716974798,112.049473566991,8,1.44281198175381e-20,"Score_2status + Age + Stage + CMS","CD4_Res_Bulk"
"Low score",0.34902826788949,1.41768926485904,0.200538086981801,1.74045874847288,0.0817784974747044,0.705373190576728,0.956935622292786,2.10029055756233,0.693261146974929,0.0215621191081043,114.638926452581,8,4.22814619764653e-21,"Score_2status + Age + Stage + CMS","CD8_Exh_Bulk"
"Low score",-0.169312238550122,0.844245256313008,0.18929303074775,-0.894445177835129,0.37108374955683,1.18448992460699,0.58256194180089,1.22347513914773,0.694912550668068,0.0223479673576883,112.817353050493,8,1.00277647368708e-20,"Score_2status + Age + Stage + CMS","CD8_Res_Bulk"
"Low score",0.407505378831879,1.50306353023839,0.198836624973484,2.04944827888837,0.0404183004404293,0.665307872809209,1.01795198914526,2.21935808370456,0.696319996997448,0.0213519386046547,116.086295113056,8,2.12772918566932e-21,"Score_2status + Age + Stage + CMS","CD8NK_Exh_Bulk"
"Low score",-0.0562829051367121,0.945271675846584,0.203005384059357,-0.277248337020734,0.781589426166172,1.05789692588049,0.634977225199135,1.40719777922364,0.693045338537757,0.0222818440441706,111.891488363473,8,1.55493010676405e-20,"Score_2status + Age + Stage + CMS","CD8NK_Res_Bulk"
"Low score",0.108257656093396,1.11433482355853,0.172120981830847,0.628962575868798,0.529373557254997,0.897396347003306,0.795254357245652,1.56144017028209,0.693514487314217,0.0221796087698937,112.184227733673,8,1.35358578807148e-20,"Score_2status + Age + Stage + CMS","DDR"
