"variable","coef","exp(coef)","se(coef)","z","Pr(>|z|)","exp(-coef)","lower .95","upper .95","C","se(C)","test","df","pvalue","formula","VariableName"
"High CD8_Res_Bulk & Low CD8_Exh_Bulk",0.772511446595306,2.16519720831118,0.322753571610558,2.39350239484704,0.0166883723818685,0.461851694691581,1.15018876266925,4.07592136441926,0.672357368822952,0.0251611325154355,46.187518592034,11,2.99573949983636e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--CD8_Exh_Bulk"
"Low CD8_Res_Bulk & High CD8_Exh_Bulk",0.152994257204607,1.16531828673903,0.31637893322614,0.483579155048388,0.628684571277541,0.858134649888957,0.626819250022126,2.16644065950505,0.672357368822952,0.0251611325154355,46.187518592034,11,2.99573949983636e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--CD8_Exh_Bulk"
"Low CD8_Res_Bulk & Low CD8_Exh_Bulk",0.0804340823453056,1.08375740554123,0.272860079646892,0.294781422219752,0.768160859082546,0.922715724835668,0.634852972301653,1.85008209035741,0.672357368822952,0.0251611325154355,46.187518592034,11,2.99573949983636e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--CD8_Exh_Bulk"
"High CD8_Res_Bulk & Low CD4_Exh_Bulk",0.16379795662526,1.17797628874297,0.288470180016039,0.56781590601896,0.570159978135772,0.84891352190723,0.669252937854474,2.07339864848286,0.668621141049416,0.0246196653057772,40.6142332299573,11,2.80756615540906e-05,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--CD4_Exh_Bulk"
"Low CD8_Res_Bulk & High CD4_Exh_Bulk",-0.0898566525426295,0.914062204373252,0.322093302937081,-0.278977090561186,0.780262406143841,1.094017447845,0.486193820991171,1.71847044818544,0.668621141049416,0.0246196653057772,40.6142332299573,11,2.80756615540906e-05,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--CD4_Exh_Bulk"
"Low CD8_Res_Bulk & Low CD4_Exh_Bulk",-0.123759036100009,0.883592729182551,0.264658817115691,-0.467617279668828,0.64005830560418,1.13174312890187,0.525985945681683,1.48432884466604,0.668621141049416,0.0246196653057772,40.6142332299573,11,2.80756615540906e-05,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--CD4_Exh_Bulk"
"High CD8_Res_Bulk & Low NK_Exh_Bulk",0.519851511844207,1.68177790705756,0.272553879884335,1.9073348435356,0.0564772408937886,0.59460883378448,0.985758112409544,2.86924032687223,0.675016363041344,0.0247775880293132,44.1080983892484,11,6.95719042151628e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--NK_Exh_Bulk"
"Low CD8_Res_Bulk & High NK_Exh_Bulk",-0.0126749637579052,0.987405025285824,0.327539117396506,-0.0386975572830936,0.969131520957974,1.01275563157128,0.519629179893947,1.87627777977881,0.675016363041344,0.0247775880293132,44.1080983892484,11,6.95719042151628e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--NK_Exh_Bulk"
"Low CD8_Res_Bulk & Low NK_Exh_Bulk",0.098418907236591,1.10342492099015,0.279046156314262,0.352697591454195,0.72431516521381,0.906269181506843,0.638584347810635,1.90663388546313,0.675016363041344,0.0247775880293132,44.1080983892484,11,6.95719042151628e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--NK_Exh_Bulk"
"High CD8_Res_Bulk & Low All_Exh_Bulk",0.3406551035506,1.40586827825854,0.313456716539396,1.08676919515867,0.277138824921908,0.711304192195522,0.76055353781728,2.59871990272494,0.670693792952983,0.0246136544584574,41.9340431324708,11,1.66284702586753e-05,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--All_Exh_Bulk"
"Low CD8_Res_Bulk & High All_Exh_Bulk",0.0307690418825167,1.03124730144479,0.296570169331899,0.103749618351138,0.91736804933757,0.969699507188035,0.576662671107958,1.84418213631529,0.670693792952983,0.0246136544584574,41.9340431324708,11,1.66284702586753e-05,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--All_Exh_Bulk"
"Low CD8_Res_Bulk & Low All_Exh_Bulk",-0.0890934576768152,0.914760078227662,0.293232392596228,-0.303832250209458,0.761255695390389,1.09318281787886,0.514881559528669,1.62520095201134,0.670693792952983,0.0246136544584574,41.9340431324708,11,1.66284702586753e-05,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--All_Exh_Bulk"
"High CD8_Res_Bulk & Low CD8NK_Exh_Bulk",0.920633785236573,2.51088124521676,0.295367861029831,3.11690575280157,0.00182759988886108,0.398266545622182,1.40737098657518,4.47964658055318,0.681097960074179,0.0249231538306282,51.7789971105448,11,2.98959248357979e-07,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--CD8NK_Exh_Bulk"
"Low CD8_Res_Bulk & High CD8NK_Exh_Bulk",0.194579535741205,1.21480009906907,0.319077930883962,0.609818219649815,0.541982230882959,0.823180703365373,0.649987779490575,2.27041080965371,0.681097960074179,0.0249231538306282,51.7789971105448,11,2.98959248357979e-07,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--CD8NK_Exh_Bulk"
"Low CD8_Res_Bulk & Low CD8NK_Exh_Bulk",0.215111246719635,1.23999983520735,0.277055123313437,0.776420389368781,0.437500809694995,0.806451720078484,0.720430148631227,2.13427990796275,0.681097960074179,0.0249231538306282,51.7789971105448,11,2.98959248357979e-07,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--CD8NK_Exh_Bulk"
"High CD8_Res_Bulk & Low Antigen_Presentation",-0.0110551955463282,0.989005688559512,0.248867472793805,-0.0444220187645325,0.964568010534957,1.01111653003382,0.607242853896216,1.61077606056151,0.666875749972728,0.0244956704275535,39.9606087232794,11,3.63343373200818e-05,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--Antigen_Presentation"
"Low CD8_Res_Bulk & High Antigen_Presentation",-0.119478839544988,0.887382785043884,0.314356461461405,-0.380074387494839,0.703890197517584,1.12690939789929,0.479214879325877,1.64320483600167,0.666875749972728,0.0244956704275535,39.9606087232794,11,3.63343373200818e-05,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--Antigen_Presentation"
"Low CD8_Res_Bulk & Low Antigen_Presentation",-0.200926737307184,0.817972356216177,0.261890294604558,-0.76721719531674,0.44295239092103,1.22253520232133,0.489572712978511,1.36665863475772,0.666875749972728,0.0244956704275535,39.9606087232794,11,3.63343373200818e-05,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--Antigen_Presentation"
"High CD8_Res_Bulk & Low DDR",0.298027865159887,1.34719932728119,0.280201395046113,1.06362020471326,0.287500785667217,0.742280655690441,0.777900404680049,2.33313418595452,0.673557325188175,0.0245369671199549,41.2170295270802,11,2.21133311084134e-05,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--DDR"
"Low CD8_Res_Bulk & High DDR",-0.107908852538352,0.89770941663615,0.316075062980488,-0.341402613419755,0.732800507943733,1.11394620738986,0.483161364858252,1.66793592230547,0.673557325188175,0.0245369671199549,41.2170295270802,11,2.21133311084134e-05,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--DDR"
"Low CD8_Res_Bulk & Low DDR",0.13934411337741,1.14951959702273,0.317664365265403,0.438652013300233,0.660913702623119,0.869928622869951,0.616765370747525,2.14246027194709,0.673557325188175,0.0245369671199549,41.2170295270802,11,2.21133311084134e-05,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--DDR"
"High CD8_Res_Bulk & Low DNA_Repair",-0.332229433321504,0.71732272623752,0.272686266325776,-1.21835777722884,0.223088042850095,1.39407265854404,0.420342806612887,1.22412441816972,0.677402639904004,0.0241509776986231,43.4198123364665,11,9.17733309147128e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--DNA_Repair"
"Low CD8_Res_Bulk & High DNA_Repair",-0.649299109461299,0.522411801963533,0.330946800547201,-1.96194405985409,0.0497689974073733,1.91419871496281,0.273092989932471,0.999344915071861,0.677402639904004,0.0241509776986231,43.4198123364665,11,9.17733309147128e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--DNA_Repair"
"Low CD8_Res_Bulk & Low DNA_Repair",-0.203181774518265,0.81612987632641,0.310636326576249,-0.654082466006732,0.513058677308778,1.22529517544589,0.443961342448643,1.5002837214585,0.677402639904004,0.0241509776986231,43.4198123364665,11,9.17733309147128e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--DNA_Repair"
"High CD8_Res_Bulk & Low EMT",0.076125102465658,1.07909756347924,0.356438326212908,0.21357159673168,0.830881150857175,0.926700266819055,0.536611355310877,2.17000915091001,0.668866586669576,0.0245492400812166,40.257582761149,11,3.23215540384229e-05,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--EMT"
"Low CD8_Res_Bulk & High EMT",-0.0544456979710288,0.947009932022386,0.285442700546625,-0.190741251630414,0.848728317854862,1.05595513435055,0.541234243886069,1.65700493174602,0.668866586669576,0.0245492400812166,40.257582761149,11,3.23215540384229e-05,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--EMT"
"Low CD8_Res_Bulk & Low EMT",-0.216672847796831,0.805193346997804,0.301813304968072,-0.717903565648809,0.472816749190002,1.24193773300356,0.445652376575856,1.45480280175095,0.668866586669576,0.0245492400812166,40.257582761149,11,3.23215540384229e-05,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--EMT"
"High CD8_Res_Bulk & Low Epi_Thiery",-0.403121811806523,0.668230695977465,0.284064179917805,-1.41912229807774,0.15586336415429,1.49648917061081,0.382939841575362,1.16606373786952,0.674498200065452,0.0243492827022877,43.3295166886232,11,9.51620981661778e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--Epi_Thiery"
"Low CD8_Res_Bulk & High Epi_Thiery",-0.125177874990713,0.882339942416302,0.281137262224291,-0.445255367432749,0.656135218462473,1.13335002976459,0.508547435006397,1.53087739784472,0.674498200065452,0.0243492827022877,43.3295166886232,11,9.51620981661778e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--Epi_Thiery"
"Low CD8_Res_Bulk & Low Epi_Thiery",-0.685384706048888,0.5038963403119,0.33218488035204,-2.06326279908507,0.0390876664733862,1.9845351513786,0.262775530418465,0.966267754746331,0.674498200065452,0.0243492827022877,43.3295166886232,11,9.51620981661778e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--Epi_Thiery"
"High CD8_Res_Bulk & Low Glycolysis",-0.58618294764031,0.556447224391138,0.251111198586156,-2.33435605795649,0.0195770856692536,1.79711562241001,0.34015569048743,0.910269979869833,0.686129595287444,0.0243160752035528,47.636737920036,11,1.65709497836632e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--Glycolysis"
"Low CD8_Res_Bulk & High Glycolysis",-0.66404911294768,0.5147627763187,0.289609903266127,-2.2929088593268,0.0218532526682248,1.94264240928889,0.29180366210657,0.908078788218094,0.686129595287444,0.0243160752035528,47.636737920036,11,1.65709497836632e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--Glycolysis"
"Low CD8_Res_Bulk & Low Glycolysis",-0.318519484484064,0.7272249082154,0.294357756370228,-1.08208286546201,0.279215708719709,1.37509041385008,0.408423731650319,1.29487105215935,0.686129595287444,0.0243160752035528,47.636737920036,11,1.65709497836632e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--Glycolysis"
"High CD8_Res_Bulk & Low HPX_EGF_EMT",-0.343200690171102,0.709495808436042,0.29547888704907,-1.16150664299107,0.245435923249442,1.40945159662652,0.397592102637287,1.26608224572191,0.682066106687029,0.0239256913403439,46.8327434379185,11,2.30260846118264e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--HPX_EGF_EMT"
"Low CD8_Res_Bulk & High HPX_EGF_EMT",0.0454506537722137,1.04649936254387,0.264835538519524,0.171618409018256,0.86373753387998,0.955566755023305,0.622745429833575,1.7586012892899,0.682066106687029,0.0239256913403439,46.8327434379185,11,2.30260846118264e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--HPX_EGF_EMT"
"Low CD8_Res_Bulk & Low HPX_EGF_EMT",-0.728858817795366,0.48245924996762,0.311569200182039,-2.33931600867326,0.0193190847932939,2.07271391328307,0.261970538807295,0.888523300898888,0.682066106687029,0.0239256913403439,46.8327434379185,11,2.30260846118264e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--HPX_EGF_EMT"
"High CD8_Res_Bulk & Low Hypoxia",-0.336126450130923,0.714532747343807,0.323190589016091,-1.04002548822419,0.298328059142641,1.39951598260176,0.379246699025683,1.34623992334898,0.671416493945675,0.0242500218433282,41.0550671510672,11,2.35801811529156e-05,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--Hypoxia"
"Low CD8_Res_Bulk & High Hypoxia",-0.37618219392209,0.686477249665389,0.3093439613371,-1.21606444908797,0.223960371882952,1.45671251376128,0.374379527394666,1.25875209466614,0.671416493945675,0.0242500218433282,41.0550671510672,11,2.35801811529156e-05,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--Hypoxia"
"Low CD8_Res_Bulk & Low Hypoxia",-0.209336585867942,0.811122177430124,0.272096012014157,-0.769348232332969,0.441686611432387,1.23285989191948,0.475858389647843,1.38259448825916,0.671416493945675,0.0242500218433282,41.0550671510672,11,2.35801811529156e-05,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--Hypoxia"
