"variable","coef","exp(coef)","se(coef)","z","Pr(>|z|)","exp(-coef)","lower .95","upper .95","C","se(C)","test","df","pvalue","formula","VariableName"
"High CD8_Res_Bulk & Low CD8_Exh_Bulk",0.772511446595306,2.16519720831118,0.322753571610558,2.39350239484704,0.0166883723818685,0.461851694691581,1.15018876266925,4.07592136441926,0.672357368822952,0.0251611325154355,46.187518592034,11,2.99573949983636e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--CD8_Exh_Bulk"
"High CD8_Res_Bulk & Low CD8NK_Exh_Bulk",0.920633785236573,2.51088124521676,0.295367861029831,3.11690575280157,0.00182759988886108,0.398266545622182,1.40737098657518,4.47964658055318,0.681097960074179,0.0249231538306282,51.7789971105448,11,2.98959248357979e-07,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--CD8NK_Exh_Bulk"
"Low CD8_Res_Bulk & High DNA_Repair",-0.649299109461299,0.522411801963533,0.330946800547201,-1.96194405985409,0.0497689974073733,1.91419871496281,0.273092989932471,0.999344915071861,0.677402639904004,0.0241509776986231,43.4198123364665,11,9.17733309147128e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--DNA_Repair"
"Low CD8_Res_Bulk & Low Epi_Thiery",-0.685384706048888,0.5038963403119,0.33218488035204,-2.06326279908507,0.0390876664733862,1.9845351513786,0.262775530418465,0.966267754746331,0.674498200065452,0.0243492827022877,43.3295166886232,11,9.51620981661778e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--Epi_Thiery"
"High CD8_Res_Bulk & Low Glycolysis",-0.58618294764031,0.556447224391138,0.251111198586156,-2.33435605795649,0.0195770856692536,1.79711562241001,0.34015569048743,0.910269979869833,0.686129595287444,0.0243160752035528,47.636737920036,11,1.65709497836632e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--Glycolysis"
"Low CD8_Res_Bulk & High Glycolysis",-0.66404911294768,0.5147627763187,0.289609903266127,-2.2929088593268,0.0218532526682248,1.94264240928889,0.29180366210657,0.908078788218094,0.686129595287444,0.0243160752035528,47.636737920036,11,1.65709497836632e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--Glycolysis"
"Low CD8_Res_Bulk & Low HPX_EGF_EMT",-0.728858817795366,0.48245924996762,0.311569200182039,-2.33931600867326,0.0193190847932939,2.07271391328307,0.261970538807295,0.888523300898888,0.682066106687029,0.0239256913403439,46.8327434379185,11,2.30260846118264e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--HPX_EGF_EMT"
"Low CD8_Res_Bulk & High OXPHOS",-0.613197865270804,0.541616081487291,0.312220909410362,-1.96398718596024,0.0495315779488049,1.84632627091495,0.29371669374864,0.998744660991902,0.671634667830261,0.0242725739408913,42.8507478128504,11,1.15301187580597e-05,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--OXPHOS"
"Low CD8_Res_Bulk & Low Peroxisome",-0.637633511650661,0.528541733075838,0.313417714209702,-2.03445268962696,0.0419059740478574,1.89199818561255,0.285954965565512,0.976924331600075,0.678343514781281,0.0239560024091181,43.6970079849198,11,8.20968900060434e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--Peroxisome"
"Low CD8_Res_Bulk & Low TP53_signaling",-0.624771329704314,0.535383840903623,0.291329374638569,-2.1445531556144,0.0319885911101524,1.86781879391839,0.302472047229298,0.947644120262868,0.67757990618523,0.0239404902374766,45.8542512993367,11,3.43083133202006e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8_Res_Bulk--TP53_signaling"
"High CD4_Res_Bulk & Low CD8NK_Exh_Bulk",0.910011776005018,2.48435178895169,0.288685442237559,3.15226070615701,0.00162011552011806,0.402519483934264,1.41085895430119,4.37464269015076,0.682720628340788,0.0244411491737627,51.5792953727888,11,3.24896078169782e-07,"Comb_2status + Age + Stage + CMS + MMR","CD4_Res_Bulk--CD8NK_Exh_Bulk"
"Low CD4_Res_Bulk & Low HPX_EGF_EMT",-0.602966562755155,0.547185964455488,0.306567079845764,-1.96683402229134,0.0492023488721439,1.82753225586682,0.300043745057314,0.997896088918265,0.685638704047126,0.0232945828945419,50.0753411790939,11,6.06717246014741e-07,"Comb_2status + Age + Stage + CMS + MMR","CD4_Res_Bulk--HPX_EGF_EMT"
"High NK_Res_Bulk & Low CD8_Exh_Bulk",0.635822574107231,1.88857499559332,0.311280623788157,2.04260247994087,0.0410918054226025,0.529499756341865,1.02605747366527,3.47613618683496,0.673189156757936,0.0250015657038686,45.5978464340013,11,3.80757415980464e-06,"Comb_2status + Age + Stage + CMS + MMR","NK_Res_Bulk--CD8_Exh_Bulk"
"High NK_Res_Bulk & Low CD8NK_Exh_Bulk",0.932924672944512,2.54193263834311,0.296624290059225,3.14513916833393,0.00166007839138949,0.393401455615214,1.42127129248286,4.54622672817539,0.678902585360532,0.0248832157912447,52.7468902102808,11,1.9957989506294e-07,"Comb_2status + Age + Stage + CMS + MMR","NK_Res_Bulk--CD8NK_Exh_Bulk"
"Low NK_Res_Bulk & High DNA_Repair",-0.719019633857074,0.487229685381289,0.344028845320585,-2.08999810230172,0.0366179701730285,2.05242010083486,0.24825377236827,0.956250388673213,0.676011781389768,0.0241612393645464,43.0871423266176,11,1.04880907041729e-05,"Comb_2status + Age + Stage + CMS + MMR","NK_Res_Bulk--DNA_Repair"
"Low NK_Res_Bulk & Low Epi_Thiery",-0.841489419710654,0.43106800387561,0.342571644050113,-2.45638958835588,0.0140340920507595,2.31981958997022,0.220266411437204,0.843613071792741,0.677266281226137,0.0243896325442008,44.6336234091601,11,5.62739693475529e-06,"Comb_2status + Age + Stage + CMS + MMR","NK_Res_Bulk--Epi_Thiery"
"Low NK_Res_Bulk & High Glycolysis",-0.695618541381719,0.498765845238122,0.303431418834901,-2.29250663643441,0.0218764250391616,2.00494883430235,0.275179079773876,0.904019915251256,0.679979818915676,0.0245581894403105,45.8515833010833,11,3.43455508369415e-06,"Comb_2status + Age + Stage + CMS + MMR","NK_Res_Bulk--Glycolysis"
"Low NK_Res_Bulk & Low HPX_EGF_EMT",-0.750750362854865,0.472012239374376,0.292952649168213,-2.56270207825902,0.0103861127353981,2.1185891309205,0.265822362243528,0.838136988321184,0.681384313297698,0.0236125485819598,46.3036553992846,11,2.85731852118408e-06,"Comb_2status + Age + Stage + CMS + MMR","NK_Res_Bulk--HPX_EGF_EMT"
"Low NK_Res_Bulk & Low Peroxisome",-0.738696960262368,0.477736019137179,0.310322926060354,-2.38041375041269,0.0172932088096239,2.09320620581647,0.260040284673257,0.877678257689244,0.680388894949275,0.0239095843903792,44.3262556930266,11,6.3711815915955e-06,"Comb_2status + Age + Stage + CMS + MMR","NK_Res_Bulk--Peroxisome"
"High NK_Res_Bulk & Low TP53_neg",0.52748282644533,1.69466117898262,0.265506884588161,1.98670112552272,0.0469555270293817,0.590088456856222,1.0071241518902,2.85156155391641,0.680947965528526,0.0248056504990625,46.1980557810301,11,2.98291174021958e-06,"Comb_2status + Age + Stage + CMS + MMR","NK_Res_Bulk--TP53_neg"
"Low NK_Res_Bulk & Low TP53_signaling",-0.659377380023624,0.517173236658331,0.272965481214411,-2.41560719359124,0.0157089978639217,1.93358806898325,0.302891721469156,0.883048752268029,0.680388894949275,0.023949432978888,46.0307481895921,11,3.19315607958548e-06,"Comb_2status + Age + Stage + CMS + MMR","NK_Res_Bulk--TP53_signaling"
"High All_Res_Bulk & Low CD8_Exh_Bulk",1.08642410444567,2.96365737254781,0.299780467400203,3.62406568335656,0.000290007903692766,0.33742092094145,1.64685133840537,5.33336848143303,0.686375040907603,0.0247912052234079,57.2819018260314,11,2.95226726851077e-08,"Comb_2status + Age + Stage + CMS + MMR","All_Res_Bulk--CD8_Exh_Bulk"
"High All_Res_Bulk & Low NK_Exh_Bulk",0.790869702729904,2.20531355969016,0.273314602291501,2.89362403654676,0.00380823844747227,0.453450256815406,1.29069770117586,3.76804567957516,0.682706992473001,0.0246944204506995,50.4509372098915,11,5.19270033774245e-07,"Comb_2status + Age + Stage + CMS + MMR","All_Res_Bulk--NK_Exh_Bulk"
"High All_Res_Bulk & Low All_Exh_Bulk",0.682243260426177,1.97831062423994,0.311870154587075,2.18758752766672,0.0286996611652975,0.505481792266164,1.07356940535599,3.64551458569449,0.677893531144322,0.0243358813772418,47.7118715739517,11,1.60683002454487e-06,"Comb_2status + Age + Stage + CMS + MMR","All_Res_Bulk--All_Exh_Bulk"
"High All_Res_Bulk & Low CD8NK_Exh_Bulk",1.34192513420518,3.82640275815135,0.28527836696645,4.70391480600068,2.55219779637377e-06,0.26134206543462,2.18756665443121,6.69298832011826,0.694515653976219,0.0245915512215583,69.7663326566794,11,1.35319850170974e-10,"Comb_2status + Age + Stage + CMS + MMR","All_Res_Bulk--CD8NK_Exh_Bulk"
"Low All_Res_Bulk & Low Epi_Thiery",-0.781392780461324,0.457767996779544,0.343933091606331,-2.27193253435385,0.0230905854980493,2.18451269427991,0.233286199979084,0.898259472246298,0.678957128831679,0.0244282407226293,44.1628912464935,11,6.80518616157153e-06,"Comb_2status + Age + Stage + CMS + MMR","All_Res_Bulk--Epi_Thiery"
"High All_Res_Bulk & Low Glycolysis",-0.533966724294528,0.586274760748905,0.249069361061494,-2.14384748898398,0.0320451088258987,1.70568488863925,0.359826358416043,0.955233231395926,0.68638867677539,0.0247234698104227,46.9977573651657,11,2.15247610759935e-06,"Comb_2status + Age + Stage + CMS + MMR","All_Res_Bulk--Glycolysis"
"Low All_Res_Bulk & High Glycolysis",-0.698439127750874,0.497361015247174,0.30254422904418,-2.30855214114457,0.020968446296034,2.01061194855216,0.274881572257168,0.899907467264747,0.68638867677539,0.0247234698104227,46.9977573651657,11,2.15247610759935e-06,"Comb_2status + Age + Stage + CMS + MMR","All_Res_Bulk--Glycolysis"
"Low All_Res_Bulk & Low HPX_EGF_EMT",-0.741061187076252,0.476607876948269,0.303795347471487,-2.43934343710055,0.0147139769903926,2.09816087472793,0.2627665911983,0.864474693427484,0.682052470819243,0.0235697143087438,46.7578770420689,11,2.37409421425972e-06,"Comb_2status + Age + Stage + CMS + MMR","All_Res_Bulk--HPX_EGF_EMT"
"Low All_Res_Bulk & High OXPHOS",-0.653100413559088,0.52042972546449,0.317564428621997,-2.05659184308859,0.039725503517227,1.92148901392496,0.279287026705082,0.969780452541572,0.673952765353987,0.0243175933290437,43.0687372956455,11,1.05657703329172e-05,"Comb_2status + Age + Stage + CMS + MMR","All_Res_Bulk--OXPHOS"
"Low All_Res_Bulk & Low Peroxisome",-0.667049127070365,0.513220794859485,0.311194889762746,-2.14350925742682,0.0320722285400233,1.94847911467381,0.278878269285061,0.944482282364449,0.679775280898876,0.0240889748838911,44.0719031782816,11,7.05943529090761e-06,"Comb_2status + Age + Stage + CMS + MMR","All_Res_Bulk--Peroxisome"
"High All_Res_Bulk & Low TP53_neg",0.684223425332413,1.98223188660347,0.266933018656572,2.56327759216897,0.0103689109415035,0.504481845317043,1.17473703491989,3.34478537363511,0.682243372968256,0.0252713642571446,49.3040679676848,11,8.34586885605668e-07,"Comb_2status + Age + Stage + CMS + MMR","All_Res_Bulk--TP53_neg"
"Low All_Res_Bulk & Low TP53_signaling",-0.683062338141082,0.505067932909455,0.292742645017657,-2.33332023798542,0.0196313440373043,1.97993167817937,0.284555382262455,0.896463861710224,0.679748009163303,0.023991503329961,46.1264018692613,11,3.07122437776333e-06,"Comb_2status + Age + Stage + CMS + MMR","All_Res_Bulk--TP53_signaling"
"High CD8NK_Res_Bulk & Low CD8_Exh_Bulk",1.01738611673261,2.76595542209267,0.301486724001726,3.37456357357474,0.000739328370478859,0.361538726189382,1.53186047877008,4.99425992316636,0.682925166357587,0.0251004268524635,54.2820706716794,11,1.04842576128303e-07,"Comb_2status + Age + Stage + CMS + MMR","CD8NK_Res_Bulk--CD8_Exh_Bulk"
"High CD8NK_Res_Bulk & Low NK_Exh_Bulk",0.629375711999023,1.87643877531883,0.27267345838079,2.30816638970448,0.0209898837729798,0.532924395484253,1.09959898476589,3.20209687922699,0.678193520235628,0.0247822898035263,46.0588618523109,11,3.15683084117157e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8NK_Res_Bulk--NK_Exh_Bulk"
"High CD8NK_Res_Bulk & Low CD8NK_Exh_Bulk",1.10748200678922,3.02672751188648,0.279697137933222,3.95957575745245,7.50830243475948e-05,0.330389833928832,1.74942242370372,5.2366308486063,0.691311225046362,0.0248550272932968,61.4747410131756,11,4.92845413315385e-09,"Comb_2status + Age + Stage + CMS + MMR","CD8NK_Res_Bulk--CD8NK_Exh_Bulk"
"High CD8NK_Res_Bulk & Low Glycolysis",-0.495693589681103,0.609148261793331,0.250245361572392,-1.98083028019565,0.0476103098384046,1.64163646639326,0.373004242405694,0.994791915643295,0.681970655612523,0.0243236714883306,45.5408122065649,11,3.89678053681254e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8NK_Res_Bulk--Glycolysis"
"Low CD8NK_Res_Bulk & Low HPX_EGF_EMT",-0.64547286262885,0.524414507445456,0.315136702691052,-2.04823131395662,0.0405373395232467,1.90688851243119,0.282767732904451,0.972567035122736,0.679829824370023,0.0236973940309028,46.3641470772274,11,2.78774394174537e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8NK_Res_Bulk--HPX_EGF_EMT"
"High CD8NK_Res_Bulk & Low TP53_neg",0.579348234275417,1.784874731389,0.268984852178504,2.15383219383279,0.0312533340099704,0.56026340807783,1.0535312444885,3.02390443892118,0.678288971310134,0.0250150625929316,45.8293119889479,11,3.46579562763179e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8NK_Res_Bulk--TP53_neg"
"Low CD8_Exh_Bulk & High CD8_Res_Bulk",0.772511446595306,2.16519720831118,0.322753571610558,2.39350239484704,0.0166883723818686,0.461851694691581,1.15018876266925,4.07592136441927,0.672357368822952,0.0251611325154355,46.187518592034,11,2.99573949983636e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8_Exh_Bulk--CD8_Res_Bulk"
"Low CD8_Exh_Bulk & High NK_Res_Bulk",0.635822574107231,1.88857499559332,0.311280623788157,2.04260247994087,0.0410918054226024,0.529499756341865,1.02605747366527,3.47613618683496,0.673189156757936,0.0250015657038686,45.5978464340013,11,3.80757415980464e-06,"Comb_2status + Age + Stage + CMS + MMR","CD8_Exh_Bulk--NK_Res_Bulk"
"Low CD8_Exh_Bulk & High All_Res_Bulk",1.08642410444567,2.96365737254781,0.299780467400203,3.62406568335656,0.000290007903692766,0.33742092094145,1.64685133840537,5.33336848143303,0.686375040907603,0.0247912052234079,57.2819018260314,11,2.95226726851076e-08,"Comb_2status + Age + Stage + CMS + MMR","CD8_Exh_Bulk--All_Res_Bulk"
