"variable","coef","exp(coef)","se(coef)","z","Pr(>|z|)","exp(-coef)","lower .95","upper .95","C","se(C)","test","df","pvalue","formula","VariableName"
"Intermediate score",0.149173903107097,1.16087485139996,0.24369175075759,0.612141784214462,0.540443954309183,0.861419298380055,0.720036659923883,1.87161362138885,0.670257445183811,0.0242463377023631,40.5634353102793,10,1.34793014907983e-05,"Score_3status + Age + Stage + CMS + MMR","All_Exh_Bulk"
"Low score",0.2372477961161,1.26775522367716,0.289597108352894,0.819233995344309,0.412652922656946,0.788795803261984,0.718670640429168,2.23635587256069,0.670257445183811,0.0242463377023631,40.5634353102793,10,1.34793014907983e-05,"Score_3status + Age + Stage + CMS + MMR","All_Exh_Bulk"
"Intermediate score",-0.109681199277217,0.896119773394751,0.236188600073829,-0.464379734004657,0.64237570714613,1.115922256923,0.564055657421868,1.42367271332669,0.670366532126105,0.02443534908494,39.9674506316769,10,1.71698368055719e-05,"Score_3status + Age + Stage + CMS + MMR","All_Res_Bulk"
"Low score",-0.25838530467141,0.772297604897147,0.286925306645155,-0.900531597204004,0.367837418021367,1.29483762950835,0.440102083093321,1.35523918982087,0.670366532126105,0.02443534908494,39.9674506316769,10,1.71698368055719e-05,"Score_3status + Age + Stage + CMS + MMR","All_Res_Bulk"
"Intermediate score",-0.0231170111045297,0.977148139900517,0.243908008283768,-0.094777581380743,0.924491494165097,1.02338628010059,0.60582269218297,1.5760692024766,0.66727119013854,0.0242338494750012,39.4566453165072,10,2.11140658753965e-05,"Score_3status + Age + Stage + CMS + MMR","Antigen_Presentation"
"Low score",-0.0141943833939093,0.985905881904076,0.243140871527074,-0.0583792568676744,0.953446537209588,1.01429560199875,0.612172156377816,1.58780564886253,0.66727119013854,0.0242338494750012,39.4566453165072,10,2.11140658753965e-05,"Score_3status + Age + Stage + CMS + MMR","Antigen_Presentation"
"Intermediate score",0.284614613764642,1.32924965487667,0.237866171922782,1.19653253534948,0.231488809900177,0.752304126114503,0.833939420672918,2.11874460085364,0.673475509981455,0.0241329683686977,42.0791523681538,10,7.25935980723433e-06,"Score_3status + Age + Stage + CMS + MMR","CD4_Exh_Bulk"
"Low score",0.0813348118641896,1.08473401759333,0.282036221745379,0.288384276887733,0.77305260196221,0.921884981738352,0.624099152441342,1.88535408888377,0.673475509981455,0.0241329683686977,42.0791523681538,10,7.25935980723433e-06,"Score_3status + Age + Stage + CMS + MMR","CD4_Exh_Bulk"
"Intermediate score",-0.375473066374026,0.686964222236673,0.228148959159003,-1.64573648618905,0.0998180236806303,1.4556798849642,0.439271849927314,1.07432297952014,0.678575324533653,0.0240562348347414,42.6792782272671,10,5.6743927816107e-06,"Score_3status + Age + Stage + CMS + MMR","CD4_Res_Bulk"
"Low score",-0.426885944480872,0.652537973541062,0.249553445538132,-1.71059928088888,0.0871551118334966,1.53247786419754,0.40011562547661,1.06420689370945,0.678575324533653,0.0240562348347414,42.6792782272671,10,5.6743927816107e-06,"Score_3status + Age + Stage + CMS + MMR","CD4_Res_Bulk"
"Intermediate score",0.189747023219275,1.20894372427801,0.237170482210752,0.800044851494899,0.423684811434602,0.827168361866646,0.759497248212316,1.92435842514416,0.670216537580452,0.0244236526996051,40.5111867282714,10,1.37687528740293e-05,"Score_3status + Age + Stage + CMS + MMR","CD8_Exh_Bulk"
"Low score",-0.0144071276300525,0.985696158419843,0.285382309228029,-0.0504836044989068,0.959737014458672,1.01451141049701,0.563410844426441,1.72449097552024,0.670216537580452,0.0244236526996051,40.5111867282714,10,1.37687528740293e-05,"Score_3status + Age + Stage + CMS + MMR","CD8_Exh_Bulk"
"Intermediate score",-0.208472307154069,0.81182351609481,0.238716201049558,-0.873306069037141,0.382496273427844,1.2317948176845,0.50847081281366,1.2961558553137,0.669166575760881,0.0240732908512051,39.8195152255094,10,1.82306068750811e-05,"Score_3status + Age + Stage + CMS + MMR","CD8_Res_Bulk"
"Low score",-0.120775696581267,0.886232722329873,0.261757872481071,-0.461402346513955,0.644509968324681,1.12837178633061,0.530565585320081,1.48032299843646,0.669166575760881,0.0240732908512051,39.8195152255094,10,1.82306068750811e-05,"Score_3status + Age + Stage + CMS + MMR","CD8_Res_Bulk"
"Intermediate score",0.218553196089737,1.24427520544214,0.245471685754456,0.89033973681329,0.373283490340503,0.803680725635497,0.769078320688482,2.01308598257212,0.66978018981128,0.0245086464064157,40.6358138544401,10,1.30882307877633e-05,"Score_3status + Age + Stage + CMS + MMR","CD8NK_Exh_Bulk"
"Low score",0.0411404179306947,1.04199841053391,0.297291791290845,0.138383968666146,0.889936966264632,0.959694362189677,0.581851053457421,1.86604575364003,0.66978018981128,0.0245086464064157,40.6358138544401,10,1.30882307877633e-05,"Score_3status + Age + Stage + CMS + MMR","CD8NK_Exh_Bulk"
"Intermediate score",-0.125035134156702,0.882465897344806,0.236800776265183,-0.528018261294381,0.597486661401069,1.13318826598153,0.554795263911136,1.4036638569815,0.67091196683757,0.0244669303858708,40.0286312664659,10,1.67491546665187e-05,"Score_3status + Age + Stage + CMS + MMR","CD8NK_Res_Bulk"
"Low score",-0.282000394165504,0.75427338722448,0.293809038211725,-0.95980843843983,0.337151634563733,1.32577924256313,0.424070515518587,1.34158900903393,0.67091196683757,0.0244669303858708,40.0286312664659,10,1.67491546665187e-05,"Score_3status + Age + Stage + CMS + MMR","CD8NK_Res_Bulk"
"Intermediate score",-0.157521199148602,0.854258703859317,0.255592808884707,-0.616297460933874,0.537698214334095,1.17060557356017,0.517640703865926,1.40977695082575,0.672057379731646,0.0244493857128176,41.5650271498103,10,8.95975561629779e-06,"Score_3status + Age + Stage + CMS + MMR","DDR"
"Low score",0.213176726205864,1.23760334886244,0.241435756747568,0.882954244547751,0.377260993555483,0.808013327468097,0.771029486548488,1.98651552999874,0.672057379731646,0.0244493857128176,41.5650271498103,10,8.95975561629779e-06,"Score_3status + Age + Stage + CMS + MMR","DDR"
"Intermediate score",-0.0494927459240585,0.951712061902993,0.266812651802824,-0.185496248358694,0.852839822582333,1.05073797005415,0.564149532500632,1.60552441611858,0.668852950801789,0.024795409410781,40.8256352618173,10,1.21150091936038e-05,"Score_3status + Age + Stage + CMS + MMR","DNA_Repair"
"Low score",0.213964357893277,1.23857850845934,0.249386775156419,0.857961925844208,0.390913487722601,0.8073771611328,0.759705257779635,2.01930512643937,0.668852950801789,0.024795409410781,40.8256352618173,10,1.21150091936038e-05,"Score_3status + Age + Stage + CMS + MMR","DNA_Repair"
"Intermediate score",-0.281579780122695,0.7545907119342,0.302681259334946,-0.930284817571409,0.35222363656419,1.3252217184555,0.416935332471813,1.36569654378202,0.672643722046471,0.0238132391242273,40.5284337444077,10,1.36725344547636e-05,"Score_3status + Age + Stage + CMS + MMR","EMT"
"Low score",-0.287794023583108,0.749916041351225,0.318862697246907,-0.902564100686443,0.366757286698515,1.33348260986412,0.401417427729131,1.40097073576828,0.672643722046471,0.0238132391242273,40.5284337444077,10,1.36725344547636e-05,"Score_3status + Age + Stage + CMS + MMR","EMT"
"Intermediate score",-0.290191994144861,0.748119919145048,0.254405868498686,-1.14066548801471,0.254009153613913,1.33668409891131,0.454381405295202,1.2317480576873,0.670407439729464,0.0241361558621931,42.760012966115,10,5.48913526751921e-06,"Score_3status + Age + Stage + CMS + MMR","Epi_Thiery"
"Low score",-0.514446617531887,0.597831332475812,0.265963656096867,-1.93427412256854,0.0530794331365883,1.67271259580638,0.354968649498457,1.00685596487123,0.670407439729464,0.0241361558621931,42.760012966115,10,5.48913526751921e-06,"Score_3status + Age + Stage + CMS + MMR","Epi_Thiery"
"Intermediate score",-0.248238426240048,0.780173907169701,0.245051726340489,-1.01300419281736,0.311058158231731,1.28176550229394,0.482617442239015,1.26118799727714,0.674702738082252,0.0240633799912824,40.7788481209137,10,1.23480400763495e-05,"Score_3status + Age + Stage + CMS + MMR","Glycolysis"
"Low score",-0.192865157242132,0.824593157058251,0.227117362902304,-0.849187198977361,0.395777135133054,1.21271925608444,0.528344361109435,1.28695208034302,0.674702738082252,0.0240633799912824,40.7788481209137,10,1.23480400763495e-05,"Score_3status + Age + Stage + CMS + MMR","Glycolysis"
"Intermediate score",-0.463699509735019,0.628952520183948,0.242649117050173,-1.91098783037871,0.0560061448264674,1.58994513561617,0.390908000299678,1.01195491609913,0.677089014944911,0.0240098481965804,46.1861079522336,10,1.32706908733277e-06,"Score_3status + Age + Stage + CMS + MMR","HPX_EGF_EMT"
"Low score",-0.657409939413126,0.518191745886465,0.268575718923351,-2.4477638635708,0.0143745829248116,1.92978758912748,0.306110639426852,0.877207946798691,0.677089014944911,0.0240098481965804,46.1861079522336,10,1.32706908733277e-06,"Score_3status + Age + Stage + CMS + MMR","HPX_EGF_EMT"
"Intermediate score",-0.653004929887725,0.520479420377853,0.263005838118921,-2.4828533638575,0.0130334727116932,1.92130555185838,0.310836912850835,0.871514340276777,0.682775171811934,0.024070702110768,45.603965287787,10,1.69164129358349e-06,"Score_3status + Age + Stage + CMS + MMR","Hypoxia"
"Low score",-0.243417751335739,0.783943951723602,0.272354733199037,-0.89375260153033,0.371454274457405,1.27560139701489,0.459680673122002,1.336945743814,0.682775171811934,0.024070702110768,45.603965287787,10,1.69164129358349e-06,"Score_3status + Age + Stage + CMS + MMR","Hypoxia"
"Intermediate score",0.0029158114649204,1.00292006657787,0.253088306038705,0.0115209252871386,0.990807834936324,0.997088435384655,0.61071299917723,1.64700712331269,0.665525799061852,0.0243985074002388,39.5090985455966,10,2.06710114987327e-05,"Score_3status + Age + Stage + CMS + MMR","Hypoxia_Buffa"
"Low score",0.0645831263661002,1.06671424663825,0.24065352651847,0.268365593059961,0.788417921168023,0.937458183530878,0.665584871824392,1.70959306941883,0.665525799061852,0.0243985074002388,39.5090985455966,10,2.06710114987327e-05,"Score_3status + Age + Stage + CMS + MMR","Hypoxia_Buffa"
"Intermediate score",-0.720899481466994,0.486314628175265,0.263560524228757,-2.73523314455578,0.00623361071529801,2.05628196657824,0.290117688270695,0.815193030755772,0.681193411148685,0.0233481228618459,49.5636283337103,10,3.2103306541377e-07,"Score_3status + Age + Stage + CMS + MMR","Hypoxia20"
"Low score",0.0125831176759638,1.01266261820608,0.213453989314773,0.0589500234516955,0.952991914345389,0.987495718733541,0.666457429089329,1.5387113018055,0.681193411148685,0.0233481228618459,49.5636283337103,10,3.2103306541377e-07,"Score_3status + Age + Stage + CMS + MMR","Hypoxia20"
"Intermediate score",0.243145529923459,1.2752541982607,0.252644228487351,0.962402867380887,0.335847273885384,0.78415738710281,0.777222929809632,2.0924154548295,0.663780407985164,0.0245212303763603,40.5756955793586,10,1.34122557129198e-05,"Score_3status + Age + Stage + CMS + MMR","IFNa_Response"
"Low score",0.166307063540296,1.18093566834212,0.24364542158115,0.682578242024978,0.494873386657251,0.846786177103003,0.732545966061891,1.90378367689327,0.663780407985164,0.0245212303763603,40.5756955793586,10,1.34122557129198e-05,"Score_3status + Age + Stage + CMS + MMR","IFNa_Response"
"Intermediate score",-0.0104155407229712,0.989638513191614,0.242537080074686,-0.0429441169150873,0.965746080956396,1.01046997127766,0.615217458519952,1.59193204488742,0.665893967492091,0.0243607123529876,39.6052347212779,10,1.98826545210142e-05,"Score_3status + Age + Stage + CMS + MMR","IFNg_Response"
"Low score",-0.122170732328727,0.884997257960498,0.264495995625124,-0.461900120793821,0.644152947386846,1.12994700379584,0.526990183468356,1.48621392042425,0.665893967492091,0.0243607123529876,39.6052347212779,10,1.98826545210142e-05,"Score_3status + Age + Stage + CMS + MMR","IFNg_Response"
"Intermediate score",-0.228969178644451,0.795353046986371,0.240466308436798,-0.952188188577905,0.341001550105424,1.25730328662101,0.496449018433265,1.27422241934705,0.668171157412458,0.024335896190045,40.3422574210215,10,1.47472251611098e-05,"Score_3status + Age + Stage + CMS + MMR","IL6_JAK_STAT3"
"Low score",-0.0855013194028505,0.918051931773024,0.264345400772968,-0.323445458679582,0.746357907008741,1.08926299851982,0.546834662606079,1.54126906552616,0.668171157412458,0.024335896190045,40.3422574210215,10,1.47472251611098e-05,"Score_3status + Age + Stage + CMS + MMR","IL6_JAK_STAT3"
"Intermediate score",-0.494693135249424,0.609757991824091,0.247155295106872,-2.0015477921908,0.0453333887915968,1.63999490520575,0.375645795718565,0.989774976403317,0.677866259408749,0.0243559618176851,42.692019281694,10,5.64475120363523e-06,"Score_3status + Age + Stage + CMS + MMR","KRAS_signaling"
"Low score",-0.442055054991961,0.642714249853604,0.283317489922238,-1.56028155943811,0.118693359197642,1.55590139821511,0.368856672638735,1.1198973411807,0.677866259408749,0.0243559618176851,42.692019281694,10,5.64475120363523e-06,"Score_3status + Age + Stage + CMS + MMR","KRAS_signaling"
"Intermediate score",-0.151002220151548,0.859845789669125,0.328661383308658,-0.459446189361823,0.645913785640884,1.16299924011352,0.451505965067533,1.63748618891699,0.666166684847824,0.0243264762876789,39.543020696884,10,2.03893777355651e-05,"Score_3status + Age + Stage + CMS + MMR","Mes_Thiery"
"Low score",-0.152436368637037,0.858613526967169,0.356509708161178,-0.427579853079683,0.668957036522225,1.16466835030219,0.426909788265979,1.72686878810024,0.666166684847824,0.0243264762876789,39.543020696884,10,2.03893777355651e-05,"Score_3status + Age + Stage + CMS + MMR","Mes_Thiery"
"Intermediate score",-0.466550466923591,0.627161957097412,0.266269753722806,-1.75217222534889,0.079744197995383,1.59448446877762,0.372160675567476,1.05688791495904,0.672180102541726,0.0242106868466917,42.3235874931583,10,6.566934977986e-06,"Score_3status + Age + Stage + CMS + MMR","MYC_neg"
"Low score",-0.251536646625472,0.777604960489857,0.276740857436381,-0.908924865506343,0.363389787352722,1.28600002676172,0.452060725260865,1.33758462257367,0.672180102541726,0.0242106868466917,42.3235874931583,10,6.566934977986e-06,"Score_3status + Age + Stage + CMS + MMR","MYC_neg"
"Intermediate score",-0.0176071432270849,0.982546956773503,0.252185307765954,-0.0698182752320591,0.944338301140903,1.01776306272813,0.599366950127699,1.61069695627893,0.667530271626486,0.024429615343668,40.5800187844982,10,1.33886926694976e-05,"Score_3status + Age + Stage + CMS + MMR","MYC_pos"
"Low score",0.215412236176304,1.24037311825833,0.242155966989481,0.889559893379218,0.373702249719032,0.806209023139869,0.771665017898701,1.99377377075794,0.667530271626486,0.024429615343668,40.5800187844982,10,1.33886926694976e-05,"Score_3status + Age + Stage + CMS + MMR","MYC_pos"
"Intermediate score",0.180829588231042,1.19821097264265,0.249989910165137,0.72334754675335,0.469466388289479,0.834577568418107,0.73407679375856,1.95580291758067,0.670148358241519,0.0243192408511639,40.844410955429,10,1.20227192445993e-05,"Score_3status + Age + Stage + CMS + MMR","NK_Exh_Bulk"
"Low score",0.313013031570649,1.36753935209717,0.288774635781115,1.08393533498526,0.278393471269802,0.731240383296075,0.776487406968293,2.40849222118899,0.670148358241519,0.0243192408511639,40.844410955429,10,1.20227192445993e-05,"Score_3status + Age + Stage + CMS + MMR","NK_Exh_Bulk"
"Intermediate score",-0.260348970239233,0.770782558691165,0.231214648470461,-1.12600551894745,0.260163183290305,1.29738275564779,0.489915988832377,1.21266863365378,0.67422548270972,0.0244093849045969,40.6394788588809,10,1.30687289865548e-05,"Score_3status + Age + Stage + CMS + MMR","NK_Res_Bulk"
"Low score",-0.296599626056115,0.743341567386314,0.270210789528654,-1.09766018808313,0.272352900274501,1.34527657792114,0.437708094469208,1.26238626332558,0.67422548270972,0.0244093849045969,40.6394788588809,10,1.30687289865548e-05,"Score_3status + Age + Stage + CMS + MMR","NK_Res_Bulk"
"Intermediate score",0.0297775448024055,1.03022532948136,0.250518443249545,0.118863682913532,0.905383354563472,0.970661438215096,0.630507907873538,1.68334800602986,0.669821097414639,0.0242923506800103,40.4550694766673,10,1.40864701895368e-05,"Score_3status + Age + Stage + CMS + MMR","OXPHOS"
