"variable","coef","exp(coef)","se(coef)","z","Pr(>|z|)","exp(-coef)","lower .95","upper .95","C","se(C)","test","df","pvalue","formula","VariableName"
"High CD8_Res_Bulk & Low CD8_Exh_Bulk",0.188169608009054,1.2070382213388,0.466904645090506,0.403015069538619,0.686937138563878,0.828474179459568,0.483382660815802,3.01405363881664,0.713422118571253,0.0349414704405115,46.0849665165039,12,6.70833400253754e-06,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--CD8_Exh_Bulk"
"Low CD8_Res_Bulk & High CD8_Exh_Bulk",-0.202526583329593,0.816664772640733,0.459551099664787,-0.440705252315407,0.659426393679038,1.22449263578058,0.331797582347259,2.01008502278452,0.713422118571253,0.0349414704405115,46.0849665165039,12,6.70833400253754e-06,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--CD8_Exh_Bulk"
"Low CD8_Res_Bulk & Low CD8_Exh_Bulk",0.130482476354485,1.1393779736629,0.322469445793787,0.404635161738472,0.685745708577488,0.877671872824761,0.605593673537547,2.14365212781189,0.713422118571253,0.0349414704405115,46.0849665165039,12,6.70833400253754e-06,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--CD8_Exh_Bulk"
"High CD8_Res_Bulk & Low CD4_Exh_Bulk",-0.188153888572687,0.828487202709073,0.546970571088337,-0.3439927091476,0.730851769146421,1.20701924752742,0.283598291546289,2.42029330046465,0.712900454154904,0.0348404612019303,45.7001919723453,12,7.81371940167159e-06,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--CD4_Exh_Bulk"
"Low CD8_Res_Bulk & High CD4_Exh_Bulk",0.0548946087811368,1.05642927043979,0.444467474511599,0.12350646994239,0.901706051244803,0.946584904433499,0.442088304217448,2.52447936938184,0.712900454154904,0.0348404612019303,45.7001919723453,12,7.81371940167159e-06,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--CD4_Exh_Bulk"
"Low CD8_Res_Bulk & Low CD4_Exh_Bulk",-0.0826448773022194,0.920678042843023,0.315164070285021,-0.262228106228857,0.793145585711523,1.08615602139488,0.496408995529461,1.70755982709212,0.712900454154904,0.0348404612019303,45.7001919723453,12,7.81371940167159e-06,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--CD4_Exh_Bulk"
"High CD8_Res_Bulk & Low NK_Exh_Bulk",0.417532911766577,1.51821137009447,0.389392394821625,1.07226776208057,0.28359978225556,0.658669813504148,0.707751554965628,3.25674418955683,0.715784951515895,0.0337592652768878,47.6362134214641,12,3.61572491135814e-06,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--NK_Exh_Bulk"
"Low CD8_Res_Bulk & High NK_Exh_Bulk",-0.283604300438692,0.75306457307845,0.450423902997432,-0.629638654945691,0.528931026904659,1.32790737441293,0.31148038006306,1.82068049072951,0.715784951515895,0.0337592652768878,47.6362134214641,12,3.61572491135814e-06,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--NK_Exh_Bulk"
"Low CD8_Res_Bulk & Low NK_Exh_Bulk",0.291096794937657,1.33789407905667,0.323339966971777,0.900280895256805,0.367970785419915,0.747443325786361,0.709895221570852,2.52144332344439,0.715784951515895,0.0337592652768878,47.6362134214641,12,3.61572491135814e-06,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--NK_Exh_Bulk"
"High CD8_Res_Bulk & Low All_Exh_Bulk",0.0827713034120273,1.08629334855599,0.509561698419868,0.162436273504657,0.870962308003651,0.920561652457228,0.400135806441892,2.94908183701464,0.711611636185099,0.0347675037632591,45.2117581323633,12,9.47868712768593e-06,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--All_Exh_Bulk"
