"variable","coef","exp(coef)","se(coef)","z","Pr(>|z|)","exp(-coef)","lower .95","upper .95","C","se(C)","test","df","pvalue","formula","VariableName"
"High CD8_Res_Bulk & Low CD8_Exh_Bulk",0.212836461379649,1.23718230761084,0.380260514037562,0.559712232857881,0.575675737055553,0.808288312763805,0.587158516258211,2.6068259590604,0.702254978975094,0.0296505425727172,76.8349192812668,12,1.65084584688629e-11,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--CD8_Exh_Bulk"
"Low CD8_Res_Bulk & High CD8_Exh_Bulk",-0.5115901530465,0.599541457738522,0.420930279131694,-1.21537978712727,0.224221273594136,1.66794136934585,0.262737895144105,1.3680933211027,0.702254978975094,0.0296505425727172,76.8349192812668,12,1.65084584688629e-11,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--CD8_Exh_Bulk"
"Low CD8_Res_Bulk & Low CD8_Exh_Bulk",-0.19609457540434,0.82193449621485,0.297754533152471,-0.658577967993275,0.510166814602655,1.21664196429907,0.458551469820396,1.4732835036655,0.702254978975094,0.0296505425727172,76.8349192812668,12,1.65084584688629e-11,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--CD8_Exh_Bulk"
"High CD8_Res_Bulk & Low CD4_Exh_Bulk",0.327224417764966,1.38711273499285,0.397533105565304,0.823137527878697,0.410429789941455,0.720921937181376,0.636401165066893,3.02337871958027,0.699182108035673,0.0296405247146658,76.8766488764323,12,1.62102978989782e-11,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--CD4_Exh_Bulk"
"Low CD8_Res_Bulk & High CD4_Exh_Bulk",-0.400722880723676,0.669835659693534,0.427913305801674,-0.936458098616359,0.349037376695789,1.49290349883361,0.289552819278078,1.54956118927018,0.699182108035673,0.0296405247146658,76.8766488764323,12,1.62102978989782e-11,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--CD4_Exh_Bulk"
"Low CD8_Res_Bulk & Low CD4_Exh_Bulk",-0.204159573216903,0.815332255615215,0.287013965320828,-0.711322785247369,0.476884235154564,1.22649385341126,0.464545110910626,1.43100566862814,0.699182108035673,0.0296405247146658,76.8766488764323,12,1.62102978989782e-11,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--CD4_Exh_Bulk"
"High CD8_Res_Bulk & Low NK_Exh_Bulk",0.55136796103351,1.73562566293005,0.316934009385445,1.7396932632842,0.0819128928893243,0.576161105103631,0.932569795225915,3.2302101754128,0.712744327896123,0.0285086429455964,80.49682405318,12,3.317925408975e-12,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--NK_Exh_Bulk"
"Low CD8_Res_Bulk & High NK_Exh_Bulk",-0.457413223117498,0.632918749360086,0.41205794211816,-1.11007015364439,0.266968797311991,1.57998163431096,0.282230278961242,1.41935920116688,0.712744327896123,0.0285086429455964,80.49682405318,12,3.317925408975e-12,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--NK_Exh_Bulk"
"Low CD8_Res_Bulk & Low NK_Exh_Bulk",-0.00779157796408197,0.99223869769675,0.295805555917252,-0.0263402015554487,0.978985989820386,1.00782201129755,0.55568159813666,1.77176576749769,0.712744327896123,0.0285086429455964,80.49682405318,12,3.317925408975e-12,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--NK_Exh_Bulk"
"High CD8_Res_Bulk & Low All_Exh_Bulk",0.286671219328245,1.33198621015516,0.39701521470905,0.722066078848716,0.470253852203646,0.750758523155813,0.611729980101305,2.90027842635685,0.699228316621228,0.02961131788716,76.6624294957315,12,1.77999603219391e-11,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--All_Exh_Bulk"
"Low CD8_Res_Bulk & High All_Exh_Bulk",-0.390833621780711,0.676492700327413,0.42019148217083,-0.930132185834781,0.35230264801499,1.47821255058039,0.296889936378799,1.5414546521118,0.699228316621228,0.02961131788716,76.6624294957315,12,1.77999603219391e-11,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--All_Exh_Bulk"
"Low CD8_Res_Bulk & Low All_Exh_Bulk",-0.216550240629368,0.805292075525628,0.293356750981175,-0.738180525606055,0.46040475535095,1.24178547187029,0.453155970429784,1.43106428960723,0.699228316621228,0.02961131788716,76.6624294957315,12,1.77999603219391e-11,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--All_Exh_Bulk"
"High CD8_Res_Bulk & Low CD8NK_Exh_Bulk",0.548623366885287,1.73086860597357,0.356821109831798,1.5375305769995,0.124163433200322,0.577744605540133,0.860077173348729,3.4832992014894,0.708146573633381,0.028962391999198,79.9874373003244,12,4.15014296306922e-12,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--CD8NK_Exh_Bulk"
