"variable","coef","exp(coef)","se(coef)","z","Pr(>|z|)","exp(-coef)","lower .95","upper .95","C","se(C)","test","df","pvalue","formula","VariableName"
"Low CD8_Res_Bulk & Low Hypoxia20",-0.642154265068076,0.526157719059759,0.326044838723187,-1.96952746616936,0.0488925517306923,1.90057080562648,0.277706520016748,0.996886732473811,0.711542904671688,0.0285391021234278,78.2574586107554,12,8.86205459592343e-12,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--Hypoxia20"
"Low CD8_Res_Bulk & High Mes_Thiery",-0.83275427114737,0.434849940772996,0.416541915117082,-1.99920882130985,0.0455857645202052,2.29964386846273,0.192211024834719,0.983785769587769,0.709140058222818,0.03044065843114,78.8449866547626,12,6.85095099500515e-12,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--Mes_Thiery"
"High CD8_Res_Bulk & Low OXPHOS",1.00793250555076,2.73993036419803,0.423905473783468,2.37772939460935,0.0174196042397247,0.36497277925992,1.19374215860786,6.28881065020711,0.722840903839933,0.0291386085638529,86.7674026601232,12,2.07939626145505e-13,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--OXPHOS"
"Low CD8_Res_Bulk & Low TGFb_Signaling",-0.702432930559036,0.495378614721219,0.30970521311326,-2.26806944415932,0.0233249743964395,2.01865799266035,0.269970119646099,0.908989380916697,0.712443972090014,0.0288672148243929,79.4034943550842,12,5.36269671218811e-12,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--TGFb_Signaling"
"Low CD8_Res_Bulk & High TGFbEMT_Dir",-0.912661040494155,0.401454514674794,0.388687593625682,-2.34805806890012,0.0188715789251255,2.49094221996748,0.187406593586309,0.859978959483893,0.711797051892242,0.030321064698932,81.2259691276264,12,2.4076604150861e-12,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--TGFbEMT_Dir"
"High CD8_Res_Bulk & Low TP53_neg",0.682371488246523,1.97856431496401,0.316208088606926,2.15798239460841,0.0309292006206624,0.5054169795932,1.06461690725996,3.67711307396426,0.714708192782219,0.0288944708504393,82.3030527030325,12,1.49817843212864e-12,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--TP53_neg"
"Low CD8_Res_Bulk & High WNT_signaling",-0.817774427121467,0.44141295882821,0.314212794516713,-2.60261339255543,0.00925162152114569,2.26545229359517,0.238444145261664,0.817153216354528,0.710295272861698,0.029295311399751,82.3674327636218,12,1.45625443945133e-12,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD8_Res_Bulk--WNT_signaling"
"High CD4_Res_Bulk & Low DDR",0.840616073594411,2.31779446898543,0.414831308375627,2.02640460500932,0.0427233394432263,0.43144463988549,1.02794498546731,5.22612715311532,0.721801210664942,0.0260551709025857,81.8888523988885,12,1.79819444187996e-12,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD4_Res_Bulk--DDR"
"Low CD4_Res_Bulk & Low TGFb_Signaling",-0.694111589498913,0.499518027976936,0.313191379034188,-2.21625381783942,0.0266741239483739,2.0019297482616,0.270372291406161,0.922869200006643,0.718035210942193,0.0277877732614534,79.516109210426,12,5.10415013998923e-12,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD4_Res_Bulk--TGFb_Signaling"
"Low CD4_Res_Bulk & High WNT_signaling",-0.763702605717117,0.465938044357877,0.322017007148305,-2.37162196021961,0.0177102007177612,2.14620808948565,0.247871616530583,0.875849620132919,0.713691603900005,0.0292318197242412,81.8834165737559,12,1.80250573980924e-12,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","CD4_Res_Bulk--WNT_signaling"
"Low NK_Res_Bulk & High CD8_Exh_Bulk",-1.04592904297981,0.3513652342915,0.490337447555654,-2.13308008228577,0.032918157385366,2.84604139056734,0.134394902362858,0.918617638750853,0.712397763504459,0.0291186485416563,80.2990412159552,12,3.61922439135188e-12,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","NK_Res_Bulk--CD8_Exh_Bulk"
"Low NK_Res_Bulk & High NK_Exh_Bulk",-1.22835632210967,0.292773407584787,0.54519957750237,-2.25303975424363,0.0242566424961123,3.41561075594067,0.10056732669636,0.85232720213006,0.723557136916039,0.0274886290548939,84.1543254075756,12,6.6164126570591e-13,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","NK_Res_Bulk--NK_Exh_Bulk"
"Low NK_Res_Bulk & High CD8NK_Exh_Bulk",-1.44273204107824,0.236281345728269,0.609589504930421,-2.36672716542736,0.0179461570677081,4.232242697441,0.0715395013003899,0.780392277334168,0.723996118478813,0.0278769139410907,84.1457743060541,12,6.64147270134764e-13,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","NK_Res_Bulk--CD8NK_Exh_Bulk"
"Low NK_Res_Bulk & High Antigen_Presentation",-0.868655197168755,0.419515335482917,0.38289446287259,-2.26865437189099,0.0232893523710396,2.38370308644109,0.198074005240531,0.888522027368647,0.713922646827781,0.0291724270951969,82.2479785899678,12,1.53499545639224e-12,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","NK_Res_Bulk--Antigen_Presentation"
"Low NK_Res_Bulk & Low Epi_Thiery",-0.914135777467418,0.400862911195903,0.460458420530081,-1.9852732336072,0.0471140803285893,2.49461841460134,0.162574698771946,0.988413786316565,0.708724180952821,0.0293070007045903,79.4601141590658,12,5.23111571436182e-12,"Comb_2status + Age + Stage + CMS + MSI_TCGAbiolink_annot","NK_Res_Bulk--Epi_Thiery"
