GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A024QYX2	GPRC5B	enables	GO:0004930	G protein-coupled receptor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR017978	9606	InterPro		F
UniProtKB	A0A024QYX2	GPRC5B	involved_in	GO:0007186	G protein-coupled receptor signaling pathway	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR017978	9606	InterPro		P
UniProtKB	A0A024QZQ2	PSAP	involved_in	GO:0007193	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q61207|ensembl:ENSMUSP00000137476	9606	Ensembl		P
UniProtKB	A0A024QZQ2	PSAP	involved_in	GO:0007193	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000342797	9606	UniProt		P
UniProtKB	A0A024R0R1	ARHGEF1	involved_in	GO:0007186	G protein-coupled receptor signaling pathway	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR037887	9606	InterPro		P
UniProtKB	A0A024R140	hCG_1783384	involved_in	GO:0007186	G protein-coupled receptor signaling pathway	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000725	9606	InterPro		P
UniProtKB	A0A024R156	hCG_1994888	involved_in	GO:0007186	G protein-coupled receptor signaling pathway	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001770|InterPro:IPR015898|InterPro:IPR036284	9606	InterPro		P
UniProtKB	A0A024R161	DNAJC25-GNG10	involved_in	GO:0007186	G protein-coupled receptor signaling pathway	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001770|InterPro:IPR015898|InterPro:IPR036284	9606	InterPro		P
UniProtKB	A0A024R1P2	RAC2	involved_in	GO:0007186	G protein-coupled receptor signaling pathway	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q05144|ensembl:ENSMUSP00000036384	9606	Ensembl		P
UniProtKB	A0A024R1Y6	PALM	involved_in	GO:0007193	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9Z0P4|ensembl:ENSMUSP00000040596	9606	Ensembl		P
UniProtKB	A0A024R1Z2	RAMP2	involved_in	GO:0007186	G protein-coupled receptor signaling pathway	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9WUP0|ensembl:ENSMUSP00000122072	9606	Ensembl		P
UniProtKB	A0A024R209	TRPM1	involved_in	GO:0007216	G protein-coupled glutamate receptor signaling pathway	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR029588	9606	InterPro		P
UniProtKB	A0A024R212	TRPM1	involved_in	GO:0007216	G protein-coupled glutamate receptor signaling pathway	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR029588	9606	InterPro		P
