Gene	Set	Ensembl Gene ID	Description	Chromosome Name	Band	Gene Start (bp)	Gene End (bp)							
DCN	Stromal141_UP	ENSG00000011465	decorin [Source:HGNC Symbol;Acc:2705]	12	q21.33	91539025	91576900							
PAPPA	Stromal141_UP	ENSG00000182752	"pregnancy-associated plasma protein A, pappalysin 1 [Source:HGNC Symbol;Acc:8602]"	9	q33.1	118916083	119164601							
SFRP4	Stromal141_UP	ENSG00000106483	secreted frizzled-related protein 4 [Source:HGNC Symbol;Acc:10778]	7	p14.1	37945543	38065297							
THBS2	Stromal141_UP	ENSG00000186340	thrombospondin 2 [Source:HGNC Symbol;Acc:11786]	6	q27	169615875	169654139							
LY86	Stromal141_UP	ENSG00000112799	lymphocyte antigen 86 [Source:HGNC Symbol;Acc:16837]	6	p25.1	6588341	6655216							
CXCL14	Stromal141_UP	ENSG00000145824	chemokine (C-X-C motif) ligand 14 [Source:HGNC Symbol;Acc:10640]	5	q31.1	134906373	134914969							
FOXF1	Stromal141_UP	ENSG00000103241	forkhead box F1 [Source:HGNC Symbol;Acc:3809]	16	q24.1	86544144	86548076							
COL10A1	Stromal141_UP	ENSG00000123500	"collagen, type X, alpha 1 [Source:HGNC Symbol;Acc:2185]"	6	q22.1	116440086	116479910							
ACTG2	Stromal141_UP	ENSG00000163017	"actin, gamma 2, smooth muscle, enteric [Source:HGNC Symbol;Acc:145]"	2	p13.1	74119441	74146992							
APBB1IP	Stromal141_UP	ENSG00000077420	"amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein [Source:HGNC Symbol;Acc:17379]"	10	p12.1	26726706	26856732							
SH2D1A	Stromal141_UP	ENSG00000183918	SH2 domain containing 1A [Source:HGNC Symbol;Acc:10820]	X	q25	123480194	123507005							
SULF1	Stromal141_UP	ENSG00000137573	sulfatase 1 [Source:HGNC Symbol;Acc:20391]	8	q13.2	70378859	70573150							
MSR1	Stromal141_UP	ENSG00000038945	macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:7376]	8	p22	15965387	16424999							
C3AR1	Stromal141_UP	ENSG00000171860	complement component 3a receptor 1 [Source:HGNC Symbol;Acc:1319]	12	p13.31	8210898	8219067							
FAP	Stromal141_UP	ENSG00000078098	"fibroblast activation protein, alpha [Source:HGNC Symbol;Acc:3590]"	2	q24.2	163027194	163101661							
PTGIS	Stromal141_UP	ENSG00000124212	prostaglandin I2 (prostacyclin) synthase [Source:HGNC Symbol;Acc:9603]	20	q13.13	48123992	48184683							
ITGBL1	Stromal141_UP	ENSG00000198542	"integrin, beta-like 1 (with EGF-like repeat domains) [Source:HGNC Symbol;Acc:6164]"	13	q33.1	102104966	102371145							
BGN	Stromal141_UP	ENSG00000182492	biglycan [Source:HGNC Symbol;Acc:1044]	X	q28	152760397	152775012							
CXCL12	Stromal141_UP	ENSG00000107562	chemokine (C-X-C motif) ligand 12 [Source:HGNC Symbol;Acc:10672]	10	q11.21	44793038	44881941							
ECM2	Stromal141_UP	ENSG00000106823	"extracellular matrix protein 2, female organ and adipocyte specific [Source:HGNC Symbol;Acc:3154]"	9	q22.31	95256365	95298937							
FCGR2A	Stromal141_UP	ENSG00000143226	"Fc fragment of IgG, low affinity IIa, receptor (CD32) [Source:HGNC Symbol;Acc:3616]"	1	q23.3	161475220	161493803							
MS4A4A	Stromal141_UP	ENSG00000110079	"membrane-spanning 4-domains, subfamily A, member 4 [Source:HGNC Symbol;Acc:13371]"	11	q12.2	60048014	60076445							
WISP1	Stromal141_UP	ENSG00000104415	WNT1 inducible signaling pathway protein 1 [Source:HGNC Symbol;Acc:12769]	8	q24.22	134203282	134240603							
COL1A2	Stromal141_UP	ENSG00000164692	"collagen, type I, alpha 2 [Source:HGNC Symbol;Acc:2198]"	7	q21.3	94023873	94060544							
MS4A6A	Stromal141_UP	ENSG00000110077	"membrane-spanning 4-domains, subfamily A, member 6A [Source:HGNC Symbol;Acc:13375]"	11	q12.2	59939081	59952139							
EDNRA	Stromal141_UP	ENSG00000151617	endothelin receptor type A [Source:HGNC Symbol;Acc:3179]	4	q31.22	148402069	148466106							
VCAM1	Stromal141_UP	ENSG00000162692	vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:12663]	1	p21.2	101185305	101204601							
GPR124	Stromal141_UP	ENSG00000020181	G protein-coupled receptor 124 [Source:HGNC Symbol;Acc:17849]	8	p11.23	37641709	37702414							
SCUBE2	Stromal141_UP	ENSG00000175356	"signal peptide, CUB domain, EGF-like 2 [Source:HGNC Symbol;Acc:30425]"	11	p15.4	9041071	9159661							
AIF1	Stromal141_UP	ENSG00000237727	allograft inflammatory factor 1 [Source:HGNC Symbol;Acc:352]	HSCHR6_MHC_COX	0	31570375	31572212							
HEPH	Stromal141_UP	ENSG00000089472	hephaestin [Source:HGNC Symbol;Acc:4866]	X	q12	65382391	65488709							
LUM	Stromal141_UP	ENSG00000139329	lumican [Source:HGNC Symbol;Acc:6724]	12	q21.33	91496406	91505608							
PTGER3	Stromal141_UP	ENSG00000050628	prostaglandin E receptor 3 (subtype EP3) [Source:HGNC Symbol;Acc:9595]	1	p31.1	71318036	71513491							
RUNX1T1	Stromal141_UP	ENSG00000079102	"runt-related transcription factor 1; translocated to, 1 (cyclin D-related) [Source:HGNC Symbol;Acc:1535]"	8	q21.3	92967203	93115514							
CDH5	Stromal141_UP	ENSG00000179776	"cadherin 5, type 2 (vascular endothelium) [Source:HGNC Symbol;Acc:1764]"	16	q21	66400533	66438686							
PIK3R5	Stromal141_UP	ENSG00000141506	"phosphoinositide-3-kinase, regulatory subunit 5 [Source:HGNC Symbol;Acc:30035]"	17	p13.1	8782228	8869024							
RAMP3	Stromal141_UP	ENSG00000122679	receptor (G protein-coupled) activity modifying protein 3 [Source:HGNC Symbol;Acc:9845]	7	p13	45197390	45225901							
LDB2	Stromal141_UP	ENSG00000169744	LIM domain binding 2 [Source:HGNC Symbol;Acc:6533]	4	p15.32	16503164	16900432							
COX7A1	Stromal141_UP	ENSG00000161281	cytochrome c oxidase subunit VIIa polypeptide 1 (muscle) [Source:HGNC Symbol;Acc:2287]	19	q13.12	36641824	36643771							
